"raceId","year","round","circuitId","name","date","time","url"
1,2009,1,1,Australian Grand Prix,"2009-03-29","06:00:00",http://en.wikipedia.org/wiki/2009_Australian_Grand_Prix
2,2009,2,2,Malaysian Grand Prix,"2009-04-05","09:00:00",http://en.wikipedia.org/wiki/2009_Malaysian_Grand_Prix
3,2009,3,17,Chinese Grand Prix,"2009-04-19","07:00:00",http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix
4,2009,4,3,Bahrain Grand Prix,"2009-04-26","12:00:00",http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix
5,2009,5,4,Spanish Grand Prix,"2009-05-10","12:00:00",http://en.wikipedia.org/wiki/2009_Spanish_Grand_Prix
6,2009,6,6,Monaco Grand Prix,"2009-05-24","12:00:00",http://en.wikipedia.org/wiki/2009_Monaco_Grand_Prix
7,2009,7,5,Turkish Grand Prix,"2009-06-07","12:00:00",http://en.wikipedia.org/wiki/2009_Turkish_Grand_Prix
8,2009,8,9,British Grand Prix,"2009-06-21","12:00:00",http://en.wikipedia.org/wiki/2009_British_Grand_Prix
9,2009,9,20,German Grand Prix,"2009-07-12","12:00:00",http://en.wikipedia.org/wiki/2009_German_Grand_Prix
10,2009,10,11,Hungarian Grand Prix,"2009-07-26","12:00:00",http://en.wikipedia.org/wiki/2009_Hungarian_Grand_Prix
11,2009,11,12,European Grand Prix,"2009-08-23","12:00:00",http://en.wikipedia.org/wiki/2009_European_Grand_Prix
12,2009,12,13,Belgian Grand Prix,"2009-08-30","12:00:00",http://en.wikipedia.org/wiki/2009_Belgian_Grand_Prix
13,2009,13,14,Italian Grand Prix,"2009-09-13","12:00:00",http://en.wikipedia.org/wiki/2009_Italian_Grand_Prix
14,2009,14,15,Singapore Grand Prix,"2009-09-27","12:00:00",http://en.wikipedia.org/wiki/2009_Singapore_Grand_Prix
15,2009,15,22,Japanese Grand Prix,"2009-10-04","05:00:00",http://en.wikipedia.org/wiki/2009_Japanese_Grand_Prix
16,2009,16,18,Brazilian Grand Prix,"2009-10-18","16:00:00",http://en.wikipedia.org/wiki/2009_Brazilian_Grand_Prix
17,2009,17,24,Abu Dhabi Grand Prix,"2009-11-01","11:00:00",http://en.wikipedia.org/wiki/2009_Abu_Dhabi_Grand_Prix
18,2008,1,1,Australian Grand Prix,"2008-03-16","04:30:00",http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix
19,2008,2,2,Malaysian Grand Prix,"2008-03-23","07:00:00",http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix
20,2008,3,3,Bahrain Grand Prix,"2008-04-06","11:30:00",http://en.wikipedia.org/wiki/2008_Bahrain_Grand_Prix
21,2008,4,4,Spanish Grand Prix,"2008-04-27","12:00:00",http://en.wikipedia.org/wiki/2008_Spanish_Grand_Prix
22,2008,5,5,Turkish Grand Prix,"2008-05-11","12:00:00",http://en.wikipedia.org/wiki/2008_Turkish_Grand_Prix
23,2008,6,6,Monaco Grand Prix,"2008-05-25","12:00:00",http://en.wikipedia.org/wiki/2008_Monaco_Grand_Prix
24,2008,7,7,Canadian Grand Prix,"2008-06-08","17:00:00",http://en.wikipedia.org/wiki/2008_Canadian_Grand_Prix
25,2008,8,8,French Grand Prix,"2008-06-22","12:00:00",http://en.wikipedia.org/wiki/2008_French_Grand_Prix
26,2008,9,9,British Grand Prix,"2008-07-06","12:00:00",http://en.wikipedia.org/wiki/2008_British_Grand_Prix
27,2008,10,10,German Grand Prix,"2008-07-20","12:00:00",http://en.wikipedia.org/wiki/2008_German_Grand_Prix
28,2008,11,11,Hungarian Grand Prix,"2008-08-03","12:00:00",http://en.wikipedia.org/wiki/2008_Hungarian_Grand_Prix
29,2008,12,12,European Grand Prix,"2008-08-24","12:00:00",http://en.wikipedia.org/wiki/2008_European_Grand_Prix
